Run 1: evaluations=25100 pareto_size=46 ref=(1.200000001, 2.003781819181818) hv=1.49654 spacing=0.0206774
0.315, 0.912666
0.63, 0.63786
0.085, 1.33352
0.728, 0.591197
0.559, 0.703806
0.393, 0.901154
0.29, 1.01446
0, 1.66982
0.591, 0.660783
0.141, 1.21687
0.043, 1.39199
0.009, 1.57788
0.671, 0.636581
0.071, 1.36956
0.837, 0.517783
0.209, 1.08228
0.403, 0.864043
0.268, 1.01715
0.262, 1.06459
0.116, 1.23302
\nHV stats (min, mean, max): (1.407236982827924, 1.5009651855868427, 1.5713892233170068)
Spacing stats (min, mean, max): (0.020143777003100258, 0.024444529725684845, 0.03649025517338461)
