Run 1: evaluations=25100 pareto_size=47 ref=(1.200000001, 2.9335899507487437) hv=1.91043 spacing=0.0252224
0.095, 2.00782
0.179, 1.81649
0.953, 1.00254
0.006, 2.4263
0.356, 1.52728
0.872, 1.05213
0.168, 1.88589
0.259, 1.69674
0.029, 2.0866
0.204, 1.751
0.378, 1.52087
0.222, 1.70628
0.273, 1.65772
1, 0.86692
0.973, 0.956655
0.01, 2.35903
0.275, 1.61713
0.522, 1.32416
0.646, 1.18401
0.712, 1.157
\nHV stats (min, mean, max): (1.787178598384228, 1.89922876297919, 1.998252229146209)
Spacing stats (min, mean, max): (0.017134500835428286, 0.02464946266089934, 0.03583582433285511)
