Run 1: evaluations=25100 pareto_size=60 ref=(1.0208187839278138, 2.361476022737554) hv=1.70449 spacing=0.0204422
0.248593, 1.08203
0.625896, 0.445818
0.22825, 1.17217
0.22051, 1.23375
0.459515, 0.589455
0.0859642, 1.56899
0.647015, 0.210009
0.840995, 0.00438033
0.643219, 0.230472
0.151617, 1.52067
0.634059, 0.381069
0.641589, 0.340967
0.829357, 0.123405
0.246623, 1.08941
0.000966041, 1.90558
0.848889, -0.0752257
0.181439, 1.49298
0.214392, 1.2708
0.624338, 0.497132
0.631762, 0.390554
\nHV stats (min, mean, max): (1.6443355290464772, 1.7212104828738604, 1.7742692653421113)
Spacing stats (min, mean, max): (0.016632729838368807, 0.025174192219810466, 0.04033503443222248)
