Run 1: evaluations=25100 pareto_size=77 ref=(1.0225603345352126, 1.5334892110994884) hv=1.39973 spacing=0.016818
0.828155, -0.298584
0.0270691, 1.13002
0.0251055, 1.17672
0.424256, 0.327742
0.197837, 0.857082
0.0115418, 1.21022
0.628943, -0.0411177
0.199403, 0.814814
0.204381, 0.736074
0.829164, -0.325063
0.852134, -0.542773
0.824664, -0.28717
0.845078, -0.51522
0.629696, -0.0697763
0.454034, 0.0763946
0.197837, 0.857082
0.431491, 0.293642
0.213956, 0.735617
0.634416, -0.108732
0.845497, -0.525778
\nHV stats (min, mean, max): (1.3511334619508366, 1.4115676757536186, 1.4825011889206494)
Spacing stats (min, mean, max): (0.01202354951915345, 0.016095504618130235, 0.020360513169343963)
