Run 1: evaluations=25100 pareto_size=67 ref=(1.024078510047673, 3.3088026850060186) hv=1.9834 spacing=0.0205035
0.200168, 2.13833
0.419889, 1.60181
0.631154, 1.0939
0.192344, 2.19261
0.0105429, 2.73977
0.830353, 0.615705
0.824977, 0.706291
0.221511, 1.96117
0.220165, 1.98761
0.195149, 2.18836
0.428573, 1.47676
0.425689, 1.55546
0.0400931, 2.42897
0.623, 1.17535
0.640188, 0.899925
0.0784093, 2.31136
0.82374, 0.828424
0.221239, 1.98331
0.829579, 0.673375
0.203486, 2.10019
\nHV stats (min, mean, max): (1.8881590928872172, 1.9954362162162753, 2.07710797086659)
Spacing stats (min, mean, max): (0.01674924628127084, 0.024416326762039274, 0.03571573309196809)
